X = 0.6908 +/- 0.0039 	 Y = 0.5851 +/- 0.0042 	 Z = 1.1017 +/- 0.0058 

time [s] 	 Strip1_V 	 Strip2_V 	 Strip3_V 	 Strip4_V 	 Xfield_V 	 Yfield_V 	 Zfield_V 
0.00088889 	 0.8438 	 0.7500 	 0.8750 	 0.6562 	 0.0060 	 0.0032 	 -0.0008 
0.00089899 	 0.6875 	 0.2812 	 0.5625 	 0.5000 	 0.0077 	 0.0064 	 0.0016 
0.00090909 	 0.0625 	 0.1250 	 0.0938 	 0.1875 	 0.0052 	 0.0064 	 -0.0016 
0.00091919 	 0.2188 	 0.1250 	 -0.0625 	 -0.1250 	 0.0261 	 0.0281 	 0.0113 
0.00092929 	 -0.0938 	 -0.0312 	 -0.2188 	 -0.1250 	 0.0149 	 0.0096 	 0.0064 
0.00093939 	 0.0625 	 0.1250 	 -0.0625 	 0.0312 	 0.0181 	 0.0193 	 0.0000 
0.00094949 	 -0.0938 	 0.1250 	 -0.0625 	 0.1875 	 -0.0060 	 -0.0048 	 -0.0121 
0.00095960 	 0.0625 	 -0.0312 	 -0.2188 	 0.1875 	 -0.0076 	 -0.0064 	 -0.0137 
0.00096970 	 0.0625 	 -0.0312 	 -0.0625 	 0.0312 	 -0.0084 	 -0.0064 	 -0.0153 
0.00097980 	 0.0625 	 -0.0312 	 0.0938 	 0.0312 	 -0.0084 	 -0.0080 	 -0.0145 
0.00098990 	 0.2188 	 0.1250 	 0.0938 	 0.0312 	 -0.0092 	 -0.0064 	 -0.0145 
0.00100000 	 0.0625 	 0.1250 	 -0.0625 	 0.0312 	 -0.0092 	 -0.0080 	 -0.0161 
0.00000000 	 0.0625 	 0.2812 	 -0.0625 	 0.1875 	 -0.0020 	 -0.0032 	 -0.0008 
0.00001010 	 0.2188 	 0.1250 	 -0.2188 	 0.1875 	 -0.0020 	 -0.0016 	 -0.0016 
0.00002020 	 0.2188 	 -0.0312 	 0.0938 	 0.0312 	 0.0012 	 0.0008 	 0.0024 
0.00003030 	 0.3750 	 0.1250 	 -0.0625 	 0.0312 	 0.0020 	 0.0000 	 0.0032 
0.00004040 	 0.0625 	 0.1250 	 -0.0625 	 0.1875 	 -0.0020 	 -0.0040 	 -0.0016 
0.00005051 	 0.3750 	 0.2812 	 0.2500 	 0.3438 	 -0.0518 	 -0.0474 	 -0.0482 
0.00006061 	 0.5312 	 0.5938 	 0.4062 	 0.6562 	 -0.0141 	 -0.0137 	 -0.0121 
0.00007071 	 1.1562 	 0.9062 	 0.8750 	 0.9688 	 -0.0092 	 -0.0072 	 -0.0080 
0.00008081 	 1.4688 	 1.5312 	 1.0312 	 1.4375 	 -0.0068 	 -0.0080 	 -0.0064 
0.00009091 	 1.9375 	 1.8438 	 1.6562 	 2.0625 	 -0.0076 	 -0.0096 	 -0.0056 
0.00010101 	 2.4062 	 2.4688 	 2.1250 	 2.6875 	 -0.0044 	 -0.0032 	 -0.0016 
0.00011111 	 2.7188 	 2.6250 	 2.2812 	 3.0000 	 -0.0060 	 -0.0040 	 -0.0016 
0.00012121 	 3.3438 	 3.2500 	 2.5938 	 3.3125 	 -0.0060 	 -0.0032 	 -0.0048 
0.00013131 	 3.5000 	 3.4062 	 3.2188 	 3.7812 	 -0.0044 	 -0.0024 	 -0.0008 
0.00014141 	 3.9688 	 3.8750 	 3.3750 	 4.0938 	 -0.0028 	 -0.0032 	 0.0000 
0.00015152 	 4.2812 	 4.5000 	 3.6875 	 4.5625 	 -0.0052 	 -0.0048 	 -0.0032 
0.00016162 	 4.7500 	 4.8125 	 4.1562 	 5.0312 	 -0.0036 	 -0.0064 	 -0.0032 
0.00017172 	 5.2188 	 4.9688 	 4.3125 	 5.3438 	 0.0004 	 -0.0064 	 0.0008 
0.00018182 	 5.2188 	 5.4375 	 4.7812 	 5.5000 	 -0.0012 	 -0.0056 	 -0.0008 
0.00019192 	 5.6875 	 5.5938 	 4.9375 	 5.8125 	 0.0012 	 -0.0056 	 0.0000 
0.00020202 	 6.0000 	 6.0625 	 5.4062 	 6.2812 	 0.0004 	 -0.0072 	 -0.0008 
0.00021212 	 6.1562 	 6.3750 	 5.7188 	 6.5938 	 0.0028 	 -0.0048 	 0.0024 
0.00022222 	 6.6250 	 6.8438 	 5.8750 	 6.9062 	 0.0077 	 0.0000 	 0.0080 
0.00023232 	 6.7812 	 7.1562 	 6.3438 	 7.2188 	 0.0077 	 0.0000 	 0.0056 
0.00024242 	 7.0938 	 7.3125 	 6.6562 	 7.5312 	 0.0093 	 0.0000 	 0.0080 
0.00025253 	 7.5625 	 7.6250 	 6.9688 	 7.6875 	 0.0109 	 0.0000 	 0.0113 
0.00026263 	 7.8750 	 7.9375 	 7.2812 	 8.1562 	 0.0133 	 0.0032 	 0.0129 
0.00027273 	 8.0312 	 8.0938 	 7.4375 	 8.1562 	 0.0133 	 0.0024 	 0.0096 
0.00028283 	 8.1875 	 8.4062 	 7.9062 	 8.6250 	 0.0125 	 0.0000 	 0.0105 
0.00029293 	 8.3438 	 8.7188 	 8.0625 	 8.6250 	 0.0149 	 0.0032 	 0.0113 
